Group,Subgroup,Weight (g),Temperature (C)
Model,Tail,28.6,35.8
Model,Tail,28.0,35.5
Model,Tail,26.8,35.3
Model,Tail,26.8,36.4
Model,Tail,25.6,34.8
Model,Tail,24.0,35.2
Model,Tail,23.8,35.6
Model,Tail,23.0,35.2
Model,Head,26.4,35.6
Model,Head,28.4,35.9
Model,Head,26.2,35.4
Model,Head,26.6,35.8
Model,Head,25.2,35.0
Model,Head,26.6,36.0
Model,Head,24.0,35.9
Model,Head,23.6,36.2
Model,None,24.6,35.6
Model,None,25.2,35.9
Model,None,23.0,35.8
Model,None,24.2,36.5
Model,None,22.4,34.7
Model,None,21.8,36.1
Model,None,20.8,35.9
Model,None,22.0,36.0
Control,Tail,25.2,35.8
Control,Tail,28.0,35.6
Control,Tail,27.0,36.0
Control,Tail,28.0,36.1
Control,Tail,27.0,34.0
Control,Tail,28.6,
Control,Tail,,
Control,Tail,,
Control,Head,23.4,36.4
Control,Head,26.2,36.2
Control,Head,25.5,36.2
Control,Head,26.0,36.4
Control,Head,26.0,34.7
Control,Head,27.0,35.4
Control,Head,26.2,36.0
Control,Head,26.8,35.9
Control,None,25.4,35.9
Control,None,28.4,36.3
Control,None,27.2,36.2
Control,None,27.8,35.9
Control,None,27.4,34.5
Control,None,28.8,34.7
Control,None,27.4,35.7
Control,None,29.6,35.9
